journal_canonical,n_papers,mean_citations,median_citations,total_citations,first_year,last_year,pct_uncited
Psychosomatic medicine,46,82.46,35.5,3793,1991,2022,0.0
Child and adolescent psychiatric clinics of North America,46,28.0,16.0,1288,2000,2022,6.52
Sleep,46,72.5,54.5,3335,2001,2022,2.17
Suicide,46,3.11,1.5,143,2007,2021,34.78
The British journal of general practice : the journal of the Royal College of General Practitioners,46,29.13,20.5,1340,1990,2021,2.17
Asia-Pacific psychiatry : official journal of the Pacific Rim College of Psychiatrists,46,12.67,8.0,583,2012,2022,0.0
"Public health reports (Washington, D.C. : 1974)",45,35.78,16.0,1610,1989,2022,0.0
SSM - population health,45,21.11,11.0,950,2011,2022,0.0
Journal of homosexuality,45,31.73,15.0,1428,1997,2022,0.0
Orvosi hetilap,45,2.73,1.0,123,1989,2022,31.11
American journal of men's health,45,19.33,15.0,870,2008,2022,0.0
"Alcohol and alcoholism (Oxford, Oxfordshire)",45,23.27,13.0,1047,1989,2022,4.44
"Neuropsychiatrie : Klinik, Diagnostik, Therapie und Rehabilitation : Organ der Gesellschaft Osterreichischer Nervenarzte und Psychiater",45,21.8,3.0,981,2007,2021,8.89
TheScientificWorldJournal,44,13.27,8.0,584,2003,2021,4.55
American journal of industrial medicine,44,33.89,27.5,1491,1989,2022,2.27
Neuroscience letters,44,34.02,16.5,1497,1989,2022,0.0
Assessment,44,18.39,12.5,809,1998,2022,0.0
Revue medicale suisse,44,2.64,1.0,116,2006,2022,47.73
Gene,44,76.16,16.5,3351,1989,2020,2.27
Journal of the Canadian Academy of Child and Adolescent Psychiatry = Journal de l'Academie canadienne de psychiatrie de l'enfant et de l'adolescent,44,23.0,11.0,1012,2006,2022,2.27
Scandinavian journal of public health,43,21.6,13.0,929,1999,2021,2.33
Deutsche medizinische Wochenschrift (1946),43,4.26,3.0,183,1990,2022,18.6
Suicidology online,43,14.05,8.0,604,2010,2015,13.95
South African medical journal = Suid-Afrikaanse tydskrif vir geneeskunde,43,13.3,7.0,572,1989,2022,4.65
"Journal of public health (Oxford, England)",43,18.77,14.0,807,2004,2022,2.33
Journal of family medicine and primary care,43,9.02,6.0,388,2014,2022,11.63
American journal of psychotherapy,42,19.45,8.5,817,1989,2022,7.14
"Psychotherapie, Psychosomatik, medizinische Psychologie",42,6.33,3.0,266,1989,2022,14.29
Journal of substance abuse treatment,42,27.33,19.5,1148,1989,2022,2.38
Academic pediatrics,41,126.56,15.0,5189,2010,2022,0.0
The primary care companion for CNS disorders,41,9.98,5.0,409,2011,2022,4.88
European journal of epidemiology,41,34.27,22.0,1405,1993,2022,0.0
Revista de saude publica,41,30.41,16.0,1247,1990,2022,0.0
Chudoku kenkyu : Chudoku Kenkyukai jun kikanshi = The Japanese journal of toxicology,41,1.78,1.0,73,2001,2016,31.71
Drug safety,41,45.85,39.0,1880,1990,2022,0.0
The Journal of neuropsychiatry and clinical neurosciences,41,43.61,27.0,1788,1990,2022,0.0
Harvard review of psychiatry,41,47.32,36.0,1940,1993,2022,0.0
Zeitschrift fur Kinder- und Jugendpsychiatrie und Psychotherapie,41,4.8,3.0,197,1997,2022,7.32
Injury epidemiology,41,37.22,16.0,1526,2004,2022,2.44
Singapore medical journal,40,9.2,4.5,368,1989,2021,10.0
Journal of pain and symptom management,40,39.65,23.0,1586,1990,2022,0.0
Biochemistry,40,35.88,25.5,1435,1989,2017,0.0
Occupational and environmental medicine,40,44.45,30.0,1778,1990,2022,0.0
Psychotherapy and psychosomatics,40,52.4,31.0,2096,1989,2022,2.5
Clinical psychopharmacology and neuroscience : the official scientific journal of the Korean College of Neuropsychopharmacology,40,20.55,16.0,822,2004,2022,0.0
Illness Crisis & Loss,40,7.48,5.0,299,2001,2022,10.0
Pain,40,47.88,36.0,1915,1990,2022,0.0
Revista de psiquiatria y salud mental,40,15.2,10.0,608,2008,2022,0.0
The western journal of emergency medicine,40,18.82,11.0,753,2008,2022,0.0
Annals of epidemiology,40,34.98,22.0,1399,1993,2022,7.5
Harefuah,40,1.4,0.0,56,1989,2022,57.5
Journal of developmental and behavioral pediatrics : JDBP,40,19.12,8.5,765,1994,2022,10.0
